"country","density","agricultural_land_percent","land_area_km2","birth_rate","capital","co2_emissions","cpi","cpi_change_percent","fertility_rate","forested_area_percent","gdp","gross_primary_education_enrollment_percent","gross_tertiary_education_enrollment_percent","infant_mortality","life_expectancy","maternal_mortality_ratio","official_language","health_expenditure_oop","physicians_per_thousand","population","labor_force_percent","urban_population","latitude","longtitude","region"
"Guyana",4,8.6,214969,19.97,"Georgetown, Guyana",2384,116.19,2.1,2.46,83.9,4280443645,97.8,11.6,25.1,69.8,169,"English",40.5,0.8,782766,56.2,208912,4.860416,-58.93018,"Latin America & Caribbean"
"Haiti",414,66.8,27750,24.35,"Port-au-Prince",2978,179.29,12.5,2.94,3.5,8498981821,113.6,1.1,49.5,63.7,480,"French",36.3,0.23,11263077,67.2,6328948,18.971187,-72.285215,"Latin America & Caribbean"
"Honduras",89,28.9,112090,21.6,"Tegucigalpa",9813,150.34,4.4,2.46,40,25095395475,91.5,26.2,15.1,75.1,65,"Spanish",49.1,0.31,9746117,68.8,5626433,15.199999,-86.241905,"Latin America & Caribbean"
"Hungary",107,58.4,93028,9.6,"Budapest",45537,121.64,3.3,1.54,22.9,1.61e+11,100.8,48.5,3.6,75.8,12,"Hungarian",29,3.41,9769949,56.5,6999582,47.162494,19.503304,"Europe & Central Asia"
"Iceland",3,18.7,103000,12,"Reykjav��",2065,129,3,1.71,0.5,24188035739,100.4,71.8,1.5,82.7,4,"Icelandic",17,4.08,361313,75,339110,64.963051,-19.020835,"Europe & Central Asia"
"India",464,60.4,3287263,17.86,"New Delhi",2407672,180.44,7.7,2.22,23.8,2.61e+12,113,28.1,29.9,69.4,145,"Hindi",65.1,0.86,1366417754,49.3,471031528,20.593684,78.96288,"South Asia"
"Indonesia",151,31.5,1904569,18.07,"Jakarta",563325,151.18,3,2.31,49.9,1.12e+12,106.4,36.3,21.1,71.5,177,"Indonesian",48.3,0.43,270203917,67.5,151509724,-0.789275,113.921327,"East Asia & Pacific"
"Iran",52,28.2,1648195,18.78,"Tehran",661710,550.93,39.9,2.14,6.6,4.45e+11,110.7,68.1,12.4,76.5,16,"Persian",39.7,1.58,82913906,44.7,62509623,32.427908,53.688046,"Middle East & North Africa"
"Iraq",93,21.4,438317,29.08,"Baghdad",190061,119.86,0.4,3.67,1.9,2.34e+11,108.7,16.2,22.5,70.5,79,"Arabic",76.5,0.71,39309783,43,27783368,33.223191,43.679291,"Middle East & North Africa"
"Republic of Ireland",72,64.5,70273,12.5,"Dublin",37711,106.58,0.9,1.75,11,3.89e+11,100.9,77.8,3.1,82.3,5,"Irish",15.2,3.31,5007069,62.1,3133123,53.41291,-8.24389,"Europe & Central Asia"
